Person ID,Deposition ID,Surname,Forename,Age,Person Type,Gender,Nationality,Religion,Occupation
200,815264r339,"Domoge","Edward",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
201,815264r339,"O Doulin","John",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
202,815264r339,"Duff","Shane",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
203,815264r339,"Duff","Teig",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
204,815264r339,"O Birghy","Carroll",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
205,815264r339,"O Brigey","Thomas",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
206,815264r339,"Shortall","Henry",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
207,815264r339,"O Bergan","Carroll",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
208,815264r339,"O Bergan","Thomas",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
209,815264r339,"o Shilen","Loughlin",0,"Debtor","Male","Unknown","Unknown","Unknown"
210,815264r339,"Right","William",0,"Debtor","Unknown","Unknown","Unknown","Unknown"
211,815264r339,"Sanders","William",0,"Debtor","Unknown","Unknown","Unknown","Unknown"
212,815264r339,"Gilberts","Godfred",0,"Debtor","Unknown","Unknown","Unknown","Unknown"
213,815264r339,"Cosby","ffrancis",0,"Mentioned","Male","Unknown","Unknown","Unknown"
214,819088v113,"Hitchins","Margaret",50,"Deponent","Female","Unknown","Unknown","Widow"
215,819088v113,"Vadicke","Dudly",0,"Unknown","Male","Unknown","Unknown","Unknown"
216,819088v113,"Cooke","Sir Walsingham",0,"Victim","Male","Unknown","Unknown","Unknown"
217,819089r114,"Stafford","Nicholas",44,"Deponent","Male","Unknown","Unknown","Esquire"
218,819089r114,"Siggin","Edward",0,"Confederate","Male","Unknown","Unknown","Gentleman"
219,815265r340,"Spikman","John",0,"Deponent","Male","Unknown","Unknown","Unknown"
220,815265r340,"Fitzpatrick","Florance",0,"Unknown","Male","Unknown","Unknown","Unknown"
221,815265r340,"Cozbie","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
222,815265r340,"O Doollin","Shane",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
